id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
126985,Sparta Cafe,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Chinese,Continental",20719037000627,https://www.swiggy.com/restaurants/sparta-cafe-adani-pratham-vaishnodevi-circle-ahmedabad-126985,"Sparta Cafe, Sparta Cafe, near Adani Partham,Balaji Temple, Tragad Rd, Ahmedabad, Gujarat.",Menu/126985.json
490658,Shri Umiya Bhajipav,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"Street Food,Fast Food",20721034000370,https://www.swiggy.com/restaurants/shri-umiya-bhajipav-gota-ahmedabad-490658,"Shri Umiya Bhajipav, Shop No 31 Sahajanand Homes Besides Petrol Pump Chenpur Road Chenpur , New Ranip Ahmedabad-382480",Menu/490658.json
309237,Bhagyesh Fast Food,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,Pizzas,license,https://www.swiggy.com/restaurants/bhagyesh-fast-food-chandkheda-ahmedabad-309237,"Bhagyesh Fast Food, 2-3,  ManibhadraShopping  Center,  Opp.Chandkheda  Railway  Station,,  Ahmedabad,  -382424",Menu/309237.json
569111,Jai Bhivani Vadapav,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 400,"Street Food,South Indian",10718026000717,https://www.swiggy.com/restaurants/jai-bhivani-vadapav-gota-ahmedabad-569111,"Jai Bhivani Vadapav, Shop Gf-11, Krishna height, opp. Ganesh Genesis, Jagatpur, AHmedabad     382470",Menu/569111.json
473631,Cakes N Mor,"GOTA,Ahmedabad",3.9,20+ ratings,₹ 200,Bakery,20722038001065,https://www.swiggy.com/restaurants/cakes-n-mor-gota-ahmedabad-473631,"Cakes N Mor, Shop No -14 Akanksha Apartments ,  Vandamcram - Godraj Garden City Road ,,  Gota(New West Zone), Ahmedabad  Municipal Corporation, Ahmedabad,  Gujarat - 382481",Menu/473631.json
132287,Mr. Puff,"GOTA,Ahmedabad",4.1,50+ ratings,₹ 200,Bakery,20716034000191,https://www.swiggy.com/restaurants/mr-puff-ranip-new-ranip-ahmedabad-132287,"Mr. Puff, #13, Home Town - 3, Near Gujarat State Transport Office, Ranip, Ahmedabad",Menu/132287.json
157685,Sorath Suddh Kathiyawadi Restaurant,"GOTA,Ahmedabad",4.1,50+ ratings,₹ 300,"Indian,Rajasthani",20722038000806,https://www.swiggy.com/restaurants/sorath-suddh-kathiyawadi-restaurant-jagatpur-ahmedabad-157685,"Sorath Suddh Kathiyawadi Restaurant, Sorath Sudh Kathiyavadi,Godrej Garden City Road,Near Krishna Heights,Jagatpur,382470",Menu/157685.json
160730,Memento Restaurant And Banquet,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"North Indian,Snacks",license,https://www.swiggy.com/restaurants/memento-restaurant-and-banquet-ranip-new-ranip-ahmedabad-160730,"Memento Restaurant And Banquet, shop 104, savan square, opp akshar park society chempur, new ranip",Menu/160730.json
560305,JAY AMBE SATVIK BHOJAN,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Indian,Gujarati",20722038002262,https://www.swiggy.com/restaurants/jay-ambe-satvik-bhojan-gota-ahmedabad-560305,"JAY AMBE SATVIK BHOJAN, 4HG5+JFC, Tragad, Gujarat 382470, India",Menu/560305.json
184004,Super 28 Kheechadi,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,Gujarati,20721038000117,https://www.swiggy.com/restaurants/super-28-kheechadi-jagatpur-chandkheda-ahmedabad-184004,"Super 28 Kheechadi, B- 602 , Belevedere , Godrej Garden City , Jagatpur , Ahmeadabad , 382481",Menu/184004.json
